epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.922,1.62952,3.32886,1.82275,0.22402,0.34235,0.24719,0.12544,1.72286,3.39743,2.09526,0.000331111,0.000331111,0.000331111
2,220.07,1.64967,2.83489,1.81061,0.47142,0.28983,0.27727,0.13184,1.87685,3.40914,2.20688,0.000651288,0.000651288,0.000651288
3,329.658,1.68647,2.67907,1.83925,0.38967,0.25756,0.19844,0.08492,1.91088,3.47974,2.20078,0.000958266,0.000958266,0.000958266
4,439.216,1.68117,2.595,1.8544,0.29257,0.29181,0.28034,0.14095,1.8725,3.00433,2.25527,0.0009406,0.0009406,0.0009406
5,550.279,1.65694,2.46606,1.8457,0.31905,0.37979,0.33403,0.15743,1.83836,2.5127,2.13407,0.0009208,0.0009208,0.0009208
6,661.937,1.62393,2.35454,1.80648,0.37072,0.44011,0.38546,0.19761,1.85692,2.28567,2.15228,0.000901,0.000901,0.000901
7,810.401,1.58341,2.26828,1.77734,0.41301,0.40184,0.38853,0.19247,1.77924,2.43078,2.07333,0.0008812,0.0008812,0.0008812
8,920.614,1.57825,2.24237,1.77634,0.3211,0.45449,0.36321,0.16762,1.8264,2.32743,2.13463,0.0008614,0.0008614,0.0008614
9,1029.07,1.56013,2.1704,1.77308,0.41929,0.45844,0.39976,0.21235,1.75887,2.18857,2.09788,0.0008416,0.0008416,0.0008416
10,1139.69,1.52545,2.12514,1.732,0.47095,0.4655,0.46607,0.24859,1.69613,2.1133,2.01036,0.0008218,0.0008218,0.0008218
11,1248.78,1.51126,2.09966,1.71759,0.55361,0.39723,0.41767,0.20938,1.71652,2.18978,2.00893,0.000802,0.000802,0.000802
12,1357.79,1.49447,2.04715,1.71098,0.42938,0.489,0.43684,0.22551,1.66815,2.13242,1.97996,0.0007822,0.0007822,0.0007822
13,1467.03,1.48101,2.06773,1.69886,0.39146,0.51013,0.46843,0.25386,1.62309,2.03961,1.94958,0.0007624,0.0007624,0.0007624
14,1576.01,1.47698,2.00993,1.69672,0.48816,0.43527,0.4386,0.24369,1.65732,2.08137,1.9532,0.0007426,0.0007426,0.0007426
15,1684.93,1.46748,1.99548,1.67506,0.6252,0.4302,0.50382,0.26923,1.64959,1.95921,1.96009,0.0007228,0.0007228,0.0007228
16,2758.36,1.43464,1.96829,1.66503,0.50259,0.50515,0.47456,0.25366,1.69507,2.01825,2.0094,0.000703,0.000703,0.000703
17,2869.32,1.43579,1.93053,1.66766,0.51166,0.54028,0.5187,0.28007,1.63235,1.93017,1.91985,0.0006832,0.0006832,0.0006832
18,2977.88,1.41701,1.87792,1.64048,0.51583,0.5021,0.48773,0.2673,1.67668,1.9206,2.00336,0.0006634,0.0006634,0.0006634
19,3086.08,1.40603,1.85006,1.63986,0.57283,0.52236,0.52269,0.29253,1.61609,1.83276,1.92617,0.0006436,0.0006436,0.0006436
20,3194.49,1.39658,1.80854,1.62683,0.51002,0.53451,0.52442,0.29105,1.60467,1.80026,1.90572,0.0006238,0.0006238,0.0006238
21,3303.59,1.35738,1.79596,1.60836,0.5781,0.52428,0.50932,0.27441,1.6295,1.84614,1.90829,0.000604,0.000604,0.000604
22,3415.51,1.36702,1.75028,1.62609,0.53282,0.51167,0.48769,0.26616,1.62013,1.91865,1.92718,0.0005842,0.0005842,0.0005842
23,3526.14,1.34012,1.73739,1.57739,0.54357,0.54082,0.52834,0.29303,1.59513,1.88886,1.90827,0.0005644,0.0005644,0.0005644
24,4281.88,1.31153,1.67751,1.55789,0.58845,0.50164,0.52498,0.30148,1.56949,1.81635,1.87355,0.0005446,0.0005446,0.0005446
25,4419.41,1.31593,1.69645,1.56626,0.53562,0.53023,0.53169,0.29609,1.60919,1.76285,1.91007,0.0005248,0.0005248,0.0005248
26,4727.67,1.31859,1.6596,1.57164,0.57314,0.52756,0.53511,0.30684,1.60418,1.76325,1.91382,0.000505,0.000505,0.000505
27,4896.15,1.30028,1.65891,1.55687,0.60048,0.54051,0.57289,0.32663,1.60563,1.76999,1.90535,0.0004852,0.0004852,0.0004852
28,5244.54,1.30712,1.61537,1.55371,0.60777,0.51594,0.53901,0.30285,1.60922,1.75376,1.93563,0.0004654,0.0004654,0.0004654
29,5647.79,1.28917,1.57824,1.54251,0.59775,0.50553,0.54726,0.30771,1.58137,1.7893,1.88171,0.0004456,0.0004456,0.0004456
30,5755.48,1.26296,1.56835,1.52859,0.48478,0.56531,0.55717,0.31152,1.60029,1.74174,1.89313,0.0004258,0.0004258,0.0004258
31,5862.63,1.25831,1.52377,1.51383,0.54818,0.57536,0.54947,0.31266,1.59665,1.72084,1.88583,0.000406,0.000406,0.000406
32,5969.3,1.25076,1.50238,1.50591,0.57724,0.53566,0.55905,0.30995,1.56681,1.68482,1.8798,0.0003862,0.0003862,0.0003862
33,6076.38,1.22591,1.46523,1.49235,0.60909,0.54449,0.54831,0.31106,1.59408,1.73298,1.89696,0.0003664,0.0003664,0.0003664
34,6183.52,1.23337,1.46358,1.4951,0.61855,0.59748,0.59833,0.32832,1.62146,1.62853,1.93424,0.0003466,0.0003466,0.0003466
35,6291.65,1.21712,1.43667,1.48692,0.60573,0.57306,0.58311,0.32033,1.57504,1.72084,1.87876,0.0003268,0.0003268,0.0003268
36,6400.18,1.19924,1.40658,1.467,0.66444,0.52109,0.57194,0.32839,1.59997,1.66947,1.90943,0.000307,0.000307,0.000307
37,8170.27,1.19058,1.41779,1.46527,0.59109,0.5588,0.56436,0.31993,1.60386,1.69055,1.91377,0.0002872,0.0002872,0.0002872
38,8278.7,1.16966,1.37322,1.45202,0.61005,0.55265,0.563,0.31951,1.60424,1.67047,1.92642,0.0002674,0.0002674,0.0002674
39,8385.74,1.15901,1.33922,1.43657,0.63554,0.51059,0.56846,0.32994,1.59211,1.65429,1.89423,0.0002476,0.0002476,0.0002476
40,8493.53,1.14614,1.3364,1.43378,0.65651,0.54715,0.58364,0.3402,1.54293,1.57206,1.85767,0.0002278,0.0002278,0.0002278
41,8599.36,1.15309,1.17444,1.50034,0.62901,0.57072,0.59572,0.34625,1.57961,1.60961,1.90055,0.000208,0.000208,0.000208
42,8704.09,1.08839,1.08338,1.45461,0.67447,0.56963,0.60831,0.35304,1.58635,1.62191,1.9117,0.0001882,0.0001882,0.0001882
