epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.557,1.65625,3.70084,1.90744,0.86691,0.06944,0.11325,0.04479,1.89786,4.32648,2.06309,0.000326667,0.000326667,0.000326667
2,75.1277,1.6619,3.1563,1.8714,0.40795,0.28249,0.13559,0.06412,1.95205,4.92114,2.37328,0.000646932,0.000646932,0.000646932
3,112.636,1.6793,3.02013,1.87554,0.08521,0.32918,0.10316,0.04857,2.0785,5.05866,2.46925,0.000953997,0.000953997,0.000953997
4,149.894,1.69559,2.92988,1.89152,0.26905,0.29347,0.19529,0.08851,2.03656,3.77116,2.34481,0.0009406,0.0009406,0.0009406
5,187.09,1.64222,2.78973,1.84506,0.33151,0.28143,0.18781,0.07992,2.07446,4.11239,2.35905,0.0009208,0.0009208,0.0009208
6,224.614,1.67453,2.74219,1.87022,0.32248,0.3258,0.21175,0.09831,1.99385,3.34375,2.20227,0.000901,0.000901,0.000901
7,261.784,1.64296,2.61569,1.82135,0.42373,0.27544,0.22909,0.10961,2.12876,3.36449,2.26458,0.0008812,0.0008812,0.0008812
8,299.956,1.61991,2.58078,1.81397,0.29329,0.37355,0.28316,0.11703,2.03253,3.13967,2.29876,0.0008614,0.0008614,0.0008614
9,337.625,1.57878,2.49672,1.80924,0.45939,0.288,0.24574,0.10784,2.01793,3.22525,2.26816,0.0008416,0.0008416,0.0008416
10,375.533,1.57121,2.42823,1.78586,0.38429,0.33122,0.32135,0.16312,1.88293,2.88698,2.07615,0.0008218,0.0008218,0.0008218
11,413.549,1.55594,2.3737,1.77375,0.30904,0.37231,0.30925,0.13686,1.91551,3.10067,2.1651,0.000802,0.000802,0.000802
12,451.908,1.57927,2.31958,1.75535,0.21732,0.40925,0.27674,0.14227,2.03032,3.00917,2.16454,0.0007822,0.0007822,0.0007822
13,489.345,1.51519,2.28743,1.7306,0.26535,0.41133,0.33239,0.17567,1.86336,2.75391,2.05022,0.0007624,0.0007624,0.0007624
14,526.888,1.51117,2.22102,1.72244,0.31962,0.39307,0.34975,0.16732,1.93043,2.88098,2.13846,0.0007426,0.0007426,0.0007426
15,564.305,1.49254,2.1711,1.69458,0.32318,0.41473,0.36852,0.17617,1.92998,2.62205,2.08066,0.0007228,0.0007228,0.0007228
16,601.642,1.47259,2.10849,1.68278,0.37667,0.36057,0.34892,0.18228,1.86532,2.5798,2.04387,0.000703,0.000703,0.000703
17,638.902,1.46425,2.10475,1.66977,0.39087,0.35481,0.32526,0.15267,1.88831,2.65742,2.08079,0.0006832,0.0006832,0.0006832
18,675.901,1.4257,1.98867,1.63786,0.32321,0.44613,0.34511,0.16792,1.89254,2.80325,2.06745,0.0006634,0.0006634,0.0006634
19,713.482,1.44377,2.00299,1.67592,0.46113,0.40805,0.40174,0.19261,1.98076,2.66046,2.22076,0.0006436,0.0006436,0.0006436
20,750.395,1.42513,1.98684,1.64927,0.49546,0.38464,0.36998,0.19277,2.02108,2.57645,2.24076,0.0006238,0.0006238,0.0006238
21,787.006,1.38182,1.92767,1.62385,0.47347,0.42096,0.40667,0.19576,1.95056,2.50725,2.12313,0.000604,0.000604,0.000604
22,823.906,1.39456,1.85583,1.59935,0.35319,0.38417,0.35557,0.19475,1.91032,2.61241,2.0862,0.0005842,0.0005842,0.0005842
23,860.763,1.35053,1.82145,1.55884,0.37681,0.44602,0.39016,0.21032,1.87494,2.52897,2.09153,0.0005644,0.0005644,0.0005644
24,897.58,1.35263,1.77997,1.5677,0.47577,0.3335,0.38676,0.19436,1.9462,2.69418,2.16108,0.0005446,0.0005446,0.0005446
25,934.563,1.29859,1.76638,1.5381,0.39925,0.40518,0.37123,0.19745,1.87958,2.45683,2.09503,0.0005248,0.0005248,0.0005248
26,971.061,1.30298,1.69633,1.53202,0.38407,0.44879,0.3593,0.17127,1.94364,2.59485,2.13307,0.000505,0.000505,0.000505
27,1007.27,1.31295,1.69378,1.556,0.38077,0.39438,0.37129,0.19104,1.84867,2.51272,2.05459,0.0004852,0.0004852,0.0004852
28,1043.68,1.28847,1.69458,1.54425,0.3974,0.52432,0.46187,0.2358,1.98405,2.44139,2.27965,0.0004654,0.0004654,0.0004654
29,1080.16,1.26234,1.5933,1.52208,0.44417,0.46013,0.40722,0.20007,1.91977,2.52735,2.1844,0.0004456,0.0004456,0.0004456
30,1116.63,1.2604,1.53371,1.51442,0.53289,0.36448,0.39784,0.20505,1.92146,2.53967,2.15116,0.0004258,0.0004258,0.0004258
31,1153.18,1.20324,1.50936,1.47904,0.40665,0.43746,0.43219,0.23068,1.96025,2.51203,2.16149,0.000406,0.000406,0.000406
32,1189.38,1.22939,1.50501,1.47756,0.56721,0.39828,0.45649,0.23482,1.94029,2.46195,2.21203,0.0003862,0.0003862,0.0003862
33,1225.74,1.2014,1.47078,1.47381,0.45515,0.44354,0.41478,0.22253,1.88937,2.59553,2.15693,0.0003664,0.0003664,0.0003664
34,1262.23,1.17282,1.42126,1.44205,0.39874,0.50647,0.42528,0.22409,1.88566,2.4627,2.13337,0.0003466,0.0003466,0.0003466
35,1298.55,1.19181,1.44986,1.44202,0.46497,0.4232,0.41087,0.21178,1.90185,2.54062,2.14567,0.0003268,0.0003268,0.0003268
